SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,64_32,0.3,96.46,96.46,55.02,55.02
1,64_32,0.5,94.52,94.52,54.86,54.86
2,32_32_16,0.3,94.68,94.68,51.92,51.92
3,32_32_16,0.5,92.14,92.14,54.56,54.56
4,32_16,0.3,94.56,94.56,54.8,54.8
5,32_16,0.5,92.68,92.68,52.86,52.86
6,128_64,0.3,96.88,96.88,53.92,53.92
7,128_64,0.5,95.28,95.28,54.02,54.02
8,64_32_32,0.3,95.66,95.66,54.28,54.28
9,64_32_32,0.5,94.3,94.3,54.1,54.1
0,128_128_64_32,0.3,97.12,97.12,54.72,54.72
1,128_128_64_32,0.5,95.9,95.9,53.1,53.1
0,128_128_128_64_32,0.3,96.56,96.56,54.46,54.46
1,128_128_128_64_32,0.5,95.28,95.28,54.22,54.22
0,128_128_128_64_32_16,0.3,97.24,97.24,55.82,55.82
