SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,64_32,0.3,94.64,94.64,51.36,51.36
1,64_32,0.5,92.5,92.5,51.06,51.06
2,32_32_16,0.3,92.44,92.44,51.92,51.92
3,32_32_16,0.5,88.9,88.9,52.28,52.28
4,32_16,0.3,91.82,91.82,52.68,52.68
5,32_16,0.5,88.56,88.56,49.98,49.98
6,128_64,0.3,96.04,96.04,51.52,51.52
7,128_64,0.5,94.46,94.46,52.86,52.86
8,64_32_32,0.3,94.14,94.14,51.96,51.96
9,64_32_32,0.5,91.92,91.92,51.82,51.82
0,128_128_64_32,0.3,96.22,96.22,53.4,53.4
1,128_128_64_32,0.5,94.4,94.4,52.94,52.94
0,128_128_128_64_32,0.3,96.0,96.0,51.26,51.26
1,128_128_128_64_32,0.5,93.7,93.7,53.06,53.06
0,128_32,0.3,95.82,95.82,50.64,50.64
1,128_32,0.5,94.4,94.4,51.98,51.98
2,128_16,0.3,95.64,95.64,51.68,51.68
3,128_16,0.5,94.44,94.44,53.2,53.2
4,16_16_16,0.3,89.32,89.32,51.54,51.54
5,16_16_16,0.5,84.62,84.62,50.76,50.76
6,32_32,0.3,92.54,92.54,50.18,50.18
7,32_32,0.5,89.78,89.78,51.3,51.3
8,64_32,0.3,94.9,94.9,52.78,52.78
9,64_32,0.5,92.58,92.58,52.2,52.2
0,128_128_128_64_32_16,0.3,95.92,95.92,51.5,51.5
