SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,128_64,0.3,97.6,97.6,53.1,53.1
1,128_32,0.3,97.54,97.54,51.02,51.02
2,128_16,0.3,97.6,97.6,50.44,50.44
3,128,0.3,90.58,90.58,53.54,53.54
4,128_64_32,0.3,97.84,97.84,51.32,51.32
0,64_32,0.3,96.8,96.8,51.68,51.68
1,64_32,0.5,95.0,95.0,53.32,53.32
2,128,0.3,90.6,90.6,53.52,53.52
3,128,0.5,89.56,89.56,54.02,54.02
4,64,0.3,90.08,90.08,54.34,54.34
5,64,0.5,88.52,88.52,54.34,54.34
6,32,0.3,88.56,88.56,54.6,54.6
7,32,0.5,86.2,86.2,54.98,54.98
