SIM,PCA_comp,Kernel,C,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,no_pca,rbf,10.0,98.38,98.38,55.04,55.04
1,no_pca,rbf,1.0,96.26,96.26,54.78,54.78
2,no_pca,rbf,0.5,95.32,95.32,54.18,54.18
0,no_pca,rbf,1.0,96.26,96.26,54.78,54.78,scale
1,no_pca,rbf,0.5,95.32,95.32,54.18,54.18,scale
2,no_pca,rbf,0.1,90.7,90.7,53.46,53.46,scale
3,no_pca,rbf,0.01,71.04,71.04,53.08,53.08,scale
4,25,rbf,1.0,95.68,95.68,53.68,53.68,scale
5,25,rbf,0.5,94.64,94.64,53.52,53.52,scale
6,25,rbf,0.1,90.04,90.04,53.0,53.0,scale
7,25,rbf,0.01,71.1,71.1,52.96,52.96,scale
8,30,rbf,1.0,96.0,96.0,53.88,53.88,scale
9,30,rbf,0.5,95.02,95.02,53.9,53.9,scale
10,30,rbf,0.1,90.46,90.46,53.0,53.0,scale
11,30,rbf,0.01,71.04,71.04,53.02,53.02,scale
12,35,rbf,1.0,96.06,96.06,53.88,53.88,scale
13,35,rbf,0.5,95.08,95.08,53.94,53.94,scale
14,35,rbf,0.1,90.6,90.6,53.36,53.36,scale
15,35,rbf,0.01,71.06,71.06,53.1,53.1,scale
16,40,rbf,1.0,96.22,96.22,54.8,54.8,scale
17,40,rbf,0.5,95.26,95.26,54.2,54.2,scale
18,40,rbf,0.1,90.66,90.66,53.46,53.46,scale
19,40,rbf,0.01,71.1,71.1,53.06,53.06,scale
0,no_pca,rbf,20.0,98.88,98.88,54.8,54.8,scale
1,no_pca,rbf,10.0,98.38,98.38,55.04,55.04,scale
2,no_pca,rbf,1.0,96.26,96.26,54.78,54.78,scale
3,no_pca,rbf,0.5,95.32,95.32,54.18,54.18,scale
4,no_pca,rbf,0.1,90.7,90.7,53.46,53.46,scale
5,25,rbf,20.0,98.66,98.66,52.74,52.74,scale
6,25,rbf,10.0,98.08,98.08,52.78,52.78,scale
7,25,rbf,1.0,95.68,95.68,53.68,53.68,scale
8,25,rbf,0.5,94.64,94.64,53.52,53.52,scale
9,25,rbf,0.1,90.04,90.04,53.0,53.0,scale
10,30,rbf,20.0,98.76,98.76,53.32,53.32,scale
11,30,rbf,10.0,98.3,98.3,53.44,53.44,scale
12,30,rbf,1.0,96.0,96.0,53.88,53.88,scale
13,30,rbf,0.5,95.02,95.02,53.9,53.9,scale
14,30,rbf,0.1,90.46,90.46,53.0,53.0,scale
15,35,rbf,20.0,98.82,98.82,53.7,53.7,scale
16,35,rbf,10.0,98.32,98.32,53.66,53.66,scale
17,35,rbf,1.0,96.06,96.06,53.88,53.88,scale
18,35,rbf,0.5,95.08,95.08,53.94,53.94,scale
19,35,rbf,0.1,90.6,90.6,53.36,53.36,scale
20,40,rbf,20.0,98.86,98.86,54.48,54.48,scale
21,40,rbf,10.0,98.34,98.34,54.42,54.42,scale
22,40,rbf,1.0,96.22,96.22,54.8,54.8,scale
23,40,rbf,0.5,95.26,95.26,54.2,54.2,scale
24,40,rbf,0.1,90.66,90.66,53.46,53.46,scale
