SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,64_32,0.3,96.32,96.32,54.16,54.16
1,64_32,0.5,95.32,95.32,53.76,53.76
2,32_32_16,0.3,95.44,95.44,53.74,53.74
3,32_32_16,0.5,93.88,93.88,56.0,56.0
4,32_16,0.3,95.8,95.8,55.72,55.72
5,32_16,0.5,93.78,93.78,54.82,54.82
6,128_64,0.3,97.08,97.08,53.86,53.86
7,128_64,0.5,95.92,95.92,55.1,55.1
8,64_32_32,0.3,96.26,96.26,55.46,55.46
9,64_32_32,0.5,94.74,94.74,53.98,53.98
0,64_32,0.3,96.7,96.7,54.22,54.22
1,64_32,0.5,95.3,95.3,54.9,54.9
2,32_32_16,0.3,95.82,95.82,54.44,54.44
3,32_32_16,0.5,93.32,93.32,52.26,52.26
4,32_16,0.3,95.72,95.72,58.02,58.02
5,32_16,0.5,94.0,94.0,54.52,54.52
6,128_64,0.3,97.14,97.14,55.98,55.98
7,128_64,0.5,95.92,95.92,53.92,53.92
8,64_32_32,0.3,96.44,96.44,53.88,53.88
9,64_32_32,0.5,94.84,94.84,54.88,54.88
0,128,0.3,95.08,95.08,56.98,56.98
1,128,0.5,94.52,94.52,57.0,57.0
2,128,0.7,93.1,93.1,57.38,57.38
3,64,0.3,94.24,94.24,57.74,57.74
4,64,0.5,93.1,93.1,57.14,57.14
5,64,0.7,90.82,90.82,56.4,56.4
6,32,0.3,92.72,92.72,56.44,56.44
7,32,0.5,91.3,91.3,58.18,58.18
8,32,0.7,88.18,88.18,56.02,56.02
9,16,0.3,90.76,90.76,56.92,56.92
10,16,0.5,88.62,88.62,56.86,56.86
11,16,0.7,86.26,86.26,55.26,55.26
0,128_128_128_64_32_16,0.3,97.82,97.82,52.22,52.22
