SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,128_64,0.3,95.66,95.66,50.22,50.22
1,128_32,0.3,95.78,95.78,50.96,50.96
2,128_16,0.3,95.72,95.72,49.58,49.58
3,128,0.3,85.38,85.38,51.46,51.46
4,128_64_32,0.3,96.22,96.22,51.42,51.42
0,64_32,0.3,94.56,94.56,51.54,51.54
1,64_32,0.5,91.9,91.9,51.78,51.78
2,32_32,0.3,91.82,91.82,51.6,51.6
3,32_32,0.5,88.6,88.6,52.14,52.14
4,64,0.3,84.6,84.6,52.14,52.14
5,64,0.5,82.52,82.52,51.58,51.58
6,32,0.3,82.94,82.94,52.06,52.06
7,32,0.5,79.7,79.7,51.8,51.8
0,64_32,0.3,93.76,93.76,51.52,51.52
1,64_32,0.5,91.94,91.94,51.32,51.32
2,32_32,0.3,91.34,91.34,51.98,51.98
3,32_32,0.5,87.78,87.78,51.74,51.74
4,64,0.3,86.92,86.92,51.94,51.94
5,64,0.5,84.82,84.82,52.2,52.2
6,32,0.3,83.54,83.54,51.5,51.5
7,32,0.5,81.04,81.04,51.88,51.88
0,128_128_64_32,0.3,96.76,96.76,52.18,52.18
1,128_128_64_32,0.5,94.38,94.38,52.26,52.26
