SIM,PCA_comp,Kernel,C,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,no_pca,rbf,1.0,93.1,93.1,50.96,50.96
1,no_pca,rbf,0.5,91.32,91.32,51.3,51.3
2,no_pca,rbf,0.1,85.06,85.06,51.1,51.1
0,no_pca,rbf,1.0,93.1,93.1,50.96,50.96,scale
1,no_pca,rbf,0.5,91.32,91.32,51.3,51.3,scale
2,no_pca,rbf,0.1,85.06,85.06,51.1,51.1,scale
3,no_pca,rbf,0.01,71.2,71.2,50.58,50.58,scale
4,25,rbf,1.0,91.46,91.46,51.44,51.44,scale
5,25,rbf,0.5,89.64,89.64,51.66,51.66,scale
6,25,rbf,0.1,83.58,83.58,51.5,51.5,scale
7,25,rbf,0.01,70.64,70.64,50.6,50.6,scale
8,30,rbf,1.0,92.26,92.26,50.46,50.46,scale
9,30,rbf,0.5,90.48,90.48,51.04,51.04,scale
10,30,rbf,0.1,84.22,84.22,50.86,50.86,scale
11,30,rbf,0.01,70.92,70.92,50.54,50.54,scale
12,35,rbf,1.0,92.66,92.66,50.64,50.64,scale
13,35,rbf,0.5,90.82,90.82,51.06,51.06,scale
14,35,rbf,0.1,84.62,84.62,50.9,50.9,scale
15,35,rbf,0.01,71.06,71.06,50.48,50.48,scale
16,40,rbf,1.0,92.92,92.92,50.94,50.94,scale
17,40,rbf,0.5,91.12,91.12,51.36,51.36,scale
18,40,rbf,0.1,84.96,84.96,51.14,51.14,scale
19,40,rbf,0.01,71.18,71.18,50.56,50.56,scale
