SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,128_64,0.3,98.34,98.34,51.44,51.44
1,128_32,0.3,98.5,98.5,51.72,51.72
2,128_16,0.3,98.3,98.3,52.8,52.8
3,128,0.3,94.06,94.06,54.26,54.26
4,128_64_32,0.3,98.28,98.28,52.96,52.96
0,32,0.3,92.52,92.52,54.1,54.1
1,32,0.5,90.86,90.86,54.6,54.6
2,64,0.3,93.56,93.56,54.16,54.16
3,64,0.5,92.56,92.56,53.78,53.78
4,128,0.3,94.18,94.18,54.7,54.7
5,128,0.5,93.5,93.5,53.74,53.74
0,32,0.3,92.7,92.7,54.04,54.04
1,32,0.5,90.6,90.6,54.34,54.34
2,64,0.3,93.54,93.54,54.7,54.7
3,64,0.5,92.6,92.6,55.14,55.14
4,128,0.3,94.1,94.1,55.08,55.08
5,128,0.5,93.54,93.54,54.72,54.72
0,32_16,0.3,96.42,96.42,51.32,51.32
1,32_16,0.5,94.94,94.94,51.56,51.56
2,32_32,0.3,96.5,96.5,52.06,52.06
3,32_32,0.5,94.98,94.98,51.72,51.72
4,64_32,0.3,97.74,97.74,53.18,53.18
5,64_32,0.5,96.12,96.12,50.84,50.84
