SIM,Hid,Drp,UA_train [%],WA_train [%],UA_val [%],WA_val [%]
0,64_32,0.3,92.26,92.26,51.16,51.16
1,64_32,0.5,89.32,89.32,50.98,50.98
2,32_32_16,0.3,89.36,89.36,50.1,50.1
3,32_32_16,0.5,85.28,85.28,49.84,49.84
4,32_16,0.3,89.52,89.52,51.2,51.2
5,32_16,0.5,85.5,85.5,49.76,49.76
6,128_64,0.3,94.16,94.16,50.16,50.16
7,128_64,0.5,92.08,92.08,51.8,51.8
8,64_32_32,0.3,91.52,91.52,49.68,49.68
9,64_32_32,0.5,88.96,88.96,51.56,51.56
0,128_32,0.3,93.68,93.68,49.46,49.46
1,128_32,0.5,91.88,91.88,48.92,48.92
2,128_16,0.3,93.66,93.66,50.0,50.0
3,128_16,0.5,91.84,91.84,50.74,50.74
4,16_16_16,0.3,85.86,85.86,49.44,49.44
5,16_16_16,0.5,80.68,80.68,49.9,49.9
6,32_32,0.3,89.5,89.5,49.76,49.76
7,32_32,0.5,85.96,85.96,49.9,49.9
8,64_32,0.3,92.3,92.3,49.26,49.26
9,64_32,0.5,89.48,89.48,49.88,49.88
0,128_128_128_64_32_16,0.3,94.24,94.24,49.52,49.52
